vendor_id,vendor_name,home_state,fleet_size,onboarding_date
VEN001,Bharat Roadways,Uttar Pradesh,60,2022-05-31
VEN002,Gati Prime Logistics,Andhra Pradesh,60,2024-04-27
VEN003,Shreeji Transport Co,Gujarat,120,2023-07-16
VEN004,National Carriers Pvt Ltd,West Bengal,8,2024-07-19
VEN005,Konkan Freight Lines,Uttar Pradesh,200,2024-11-27
VEN006,Deccan Cargo Movers,Maharashtra,8,2023-10-03
VEN007,TCI Express Roadlink,Punjab,12,2022-07-31
VEN008,Safe & Fast Logistics,Delhi,35,2022-05-27
VEN009,Maruti Transport Corp,Telangana,12,2021-08-01
VEN010,Ganpati Roadways,Maharashtra,60,2023-08-27
VEN011,VRL Freight Services,Madhya Pradesh,20,2020-10-07
VEN012,Blue Dart Surface,West Bengal,60,2023-06-28
VEN013,Om Sai Transport,Maharashtra,8,2022-05-26
VEN014,Patel Roadways Ltd,Haryana,8,2021-07-18
VEN015,Rivigo Fleet Partners,Punjab,60,2023-08-26
VEN016,Ashok Leyland Logistics,Maharashtra,8,2023-12-21
VEN017,Jai Bhole Transport,Tamil Nadu,8,2023-10-29
VEN018,SpiceRoute Carriers,Tamil Nadu,12,2020-06-24
VEN019,Coastal Freight India,Telangana,35,2021-06-17
VEN020,Highway King Logistics,Rajasthan,12,2020-07-12
VEN021,Annapurna Roadlines,Uttar Pradesh,12,2023-03-08
VEN022,Sri Venkatesh Cargo,Karnataka,20,2023-06-13
VEN023,Northern Express Freight,Tamil Nadu,20,2020-03-24
VEN024,Metro Haul Logistics,Gujarat,20,2020-12-08
VEN025,Trident Road Carriers,Maharashtra,20,2020-02-15
